date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:45:10	664/664	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f87-298%22	https://preview.uideck.com/items/cryptoland/assets/images/hero/text-shape.svg	preview.uideck.com/items/cryptoland/assets/images/hero/text-shape.svg	(from https://preview.uideck.com/items/cryptoland/)
09:45:10	31550/31550	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f88-7b3e%22	https://preview.uideck.com/items/cryptoland/assets/images/hero/home2-bg.png	preview.uideck.com/items/cryptoland/assets/images/hero/home2-bg.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:11	22205/22205	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f88-56bd%22	https://preview.uideck.com/items/cryptoland/assets/images/hero/h2-bit-l.png	preview.uideck.com/items/cryptoland/assets/images/hero/h2-bit-l.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:24	5944/5944	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f87-1738%22	https://preview.uideck.com/items/cryptoland/assets/images/hero/h2-bit-s.png	preview.uideck.com/items/cryptoland/assets/images/hero/h2-bit-s.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:24	10787/10787	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f87-2a23%22	https://preview.uideck.com/items/cryptoland/assets/images/hero/h2-bit-m.png	preview.uideck.com/items/cryptoland/assets/images/hero/h2-bit-m.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:42	5421/5421	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f87-152d%22	https://preview.uideck.com/items/cryptoland/assets/images/features/feature-icon-1.png	preview.uideck.com/items/cryptoland/assets/images/features/feature-icon-1.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:46	5662/5662	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f87-161e%22	https://preview.uideck.com/items/cryptoland/assets/images/features/feature-icon-2.png	preview.uideck.com/items/cryptoland/assets/images/features/feature-icon-2.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:46	6347/6347	---MC-	200	added ('OK')	image/png	etag:W/%2264c63f86-18cb%22	https://preview.uideck.com/items/cryptoland/assets/images/features/feature-icon-3.png	preview.uideck.com/items/cryptoland/assets/images/features/feature-icon-3.png	(from https://preview.uideck.com/items/cryptoland/)
09:45:48	45816/45816	---MC-	200	added ('OK')	image/jpeg	etag:W/%2264c63f88-b2f8%22	https://preview.uideck.com/items/cryptoland/assets/images/team/team4.jpg	preview.uideck.com/items/cryptoland/assets/images/team/team4.jpg	(from https://preview.uideck.com/items/cryptoland/)
09:45:49	46014/46014	---MC-	200	added ('OK')	image/jpeg	etag:W/%2264c63f88-b3be%22	https://preview.uideck.com/items/cryptoland/assets/images/team/team1.jpg	preview.uideck.com/items/cryptoland/assets/images/team/team1.jpg	(from https://preview.uideck.com/items/cryptoland/)
09:45:50	53086/53086	---MC-	200	added ('OK')	image/jpeg	etag:W/%2264c63f88-cf5e%22	https://preview.uideck.com/items/cryptoland/assets/images/team/team2.jpg	preview.uideck.com/items/cryptoland/assets/images/team/team2.jpg	(from https://preview.uideck.com/items/cryptoland/)
09:45:51	40937/40937	---MC-	200	added ('OK')	image/jpeg	etag:W/%2264c63f88-9fe9%22	https://preview.uideck.com/items/cryptoland/assets/images/team/team3.jpg	preview.uideck.com/items/cryptoland/assets/images/team/team3.jpg	(from https://preview.uideck.com/items/cryptoland/)
09:45:52	320/320	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f87-140%22	https://preview.uideck.com/items/cryptoland/assets/images/video/shape1.svg	preview.uideck.com/items/cryptoland/assets/images/video/shape1.svg	(from https://preview.uideck.com/items/cryptoland/)
09:45:53	2606/2606	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c63f87-a2e%22	https://preview.uideck.com/items/cryptoland/assets/images/video/shape2.svg	preview.uideck.com/items/cryptoland/assets/images/video/shape2.svg	(from https://preview.uideck.com/items/cryptoland/)
